subsystem,notes,contributor_id,date_created,date_updated,subsystem_id
"bauxite mining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",102
"alumina refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",103
"sand castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",104
"mold castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",105
"die castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",106
"other castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",107
"sheet plate",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",108
foil,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",109
extruded,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",110
"electrical conductor",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",111
wire,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",112
"powder paste",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",113
"forgings impacts",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",114
"old scrap",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",115
"recycled scrap",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",116
"engineering materials",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",117
scrap,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",118
"sheet pipe",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",119
"cable sheathing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",120
alloys,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",121
"refined metal",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",122
"mining and beneficiation",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",123
"blast furnace",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",124
"steel mills",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",125
"rolling mills",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",126
foundry,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",127
"waste management",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",128
recycled,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",129
"other alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",130
"casting alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",131
"brass and bronze",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",132
dust,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",133
semis,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",134
chemicals,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",135
miscellaneous,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",136
galvanizing,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",137
"electrical and electronics",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",138
agriculture,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",139
"end of life",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",140
"collection and sorting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",141
"non-hazardous industrial waste and hazardous industrial waste",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",142
non-dissipative,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",143
waste,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",144
recycle,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",145
household,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",146
"Cu metal components",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",147
"Cu alloy components",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",148
"not recycled",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",149
"industrial and hazardous waste",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",150
"primary aluminum smelting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",151
"new scrap",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",152
"secondary smelters",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",153
"integrated producers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",154
