process_name,notes,contributor_id,date_created,date_updated,process_name_id
"transport ",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",153
"construction ",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",154
"electrical ",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",155
"other ",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",156
"new scrap",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",157
"old scrap",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",158
"separation treatment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",159
melting,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",160
"secondary smelters",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",161
"integrated producers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",162
others,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",163
automotives,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",164
"freight vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",165
"specialty vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",166
"agricultural vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",167
"military vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",168
"police vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",169
bicycles,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",170
aerospace,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",171
civil_aircraft,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",172
military_aircraft,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",173
"transport vessels",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",174
barges,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",175
"fishing vessels",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",176
"military vessels",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",177
locomotives,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",178
"passenger rail cars",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",179
"specialty freight cars",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",180
"subway vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",181
cargo,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",182
rural,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",183
urban,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",184
nonresidential,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",185
signs,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",186
"road signs",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",187
"street signs",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",188
"street lights",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",189
"transmission distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",190
transformation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",191
transformers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",192
"bus bars and related",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",193
"generation equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",194
"household durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",195
