substance,subsystem acronym,subsystem name,subsystem,process name,process
12,USE,use,3;1,buildings infrastructure,1
12,USE,use,3;1,transport,2
12,USE,use,3;1,industrial machinery,3
12,USE,use,3;1,household appliances electronics,4
12,USE,use,3;1,metal goods and other,5
12,USE,aggregate use,3,use,1'
12,USE,use,3;1',non-dissipative,1
12,USE,use,3;1',dissipative,2
12,WMR,aggregate waste management,4,waste management,1
12,WMR,waste management,4;1,collection separation,1
12,WMR,waste management,4;1,incineration,2
12,WMR,collection,4;1;1,construction demolition,1
12,WMR,collection,4;1;1,end of life vehicles,2
12,WMR,collection,4;1;1,municipal solid waste,3
12,WMR,collection,4;1;1,sewage and sewage sludge,4
12,WMR,collection,4;1;1,waste electrical electronic equipment,5
12,WMR,collection,4;1;1,industrial waste,6
12,WMR,collection,4;1;1,hazardous waste,7
12,WMR,collection,4;1;1,other,8
12,WMR,aggregate waste management,4,waste management,1'
12,WMR,waste management,4;1',scrap,1
12,WMR,waste management,4;1',cargo and wastes,2
12,WMR,scrap,4;1';1,old scrap,1
12,WMR,scrap,4;1';1,new scrap,2
12,WMR,aggregate waste management,4,waste management,1''
12,WMR,waste management,4;1'',recycled,1
12,WMR,waste management,4;1'',not recycled,2
12,WMR,recycled,4;1'';1,old scrap,1
12,WMR,recycled,4;1'';1,new scrap,2
12,ENV,aggregate environment,5,environment,1
12,ENV,environment,5;1,tailings,1
12,ENV,environment,5;1,slag,2
12,ENV,environment,5;1,sludge slimes,3
12,ENV,environment,5;1,leachate,4
12,ENV,environment,5;1,landfill,5
12,ENV,environment,5;1,lithosphere economic resources,6
12,ENV,environment,5;1,ashes particulates,7
12,ENV,environment,5;1,hazardous waste,8
12,ENV,environment,5;1,dissipation,9
12,ENV,environment,5;1,earth orbit,10
12,ENV,environment,5;1,moon,11
12,ENV,environment,5;1,atmosphere,12
12,ENV,environment,5;1,fossil fuel resources,13
12,ENV,environment,5;1,agricultural biomass,14
12,ENV,environment,5;1,terrestrial biomass,15
12,ENV,environment,5;1,soil,16
12,ENV,environment,5;1,continental regolith,17
12,ENV,environment,5;1,freshwater,18
12,ENV,environment,5;1,oceans,19
12,ENV,environment,5;1,ocean biomass,20
12,ENV,environment,5;1,mantle,21
12,ENV,environment,5;1,core,22
12,ENV,environment,5;1,oceanic regolith,23
12,ENV,environment,5;1,consolidated crust,24
12,ENV,environment,5;1,universe non earth planetary bodies,25
12,ENV,slag,5;1;2,FeCr slag,1
12,ENV,dissipation,5;1;9,landfill,1
12,ENV,dissipation,5;1;9,water bodies,2
12,ENV,dissipation,5;1;9,air,3
12,ENV,oceanic regolith,5;1;23,continental margin regolith,1
12,ENV,oceanic regolith,5;1;23,seafloor regolith,2
12,ENV,consolidated crust,5;1;24,upper continental crust,1
12,ENV,consolidated crust,5;1;24,middle continental crust,2
12,ENV,consolidated crust,5;1;24,lower continental crust,3
12,ENV,consolidated crust,5;1;24,oceanic crust,4
