substance,subsystem acronym,subsystem name,subsystem,process name,process
2,F&M,transport,2;1;2;1',transport product,1
2,F&M,transport,2;1;2;1',transport scrap,2
2,F&M,construction,2;1;2;2',construction product,1
2,F&M,construction,2;1;2;2',construction scrap,2
2,F&M,industrial machinery,2;1;2;3',industrial machinery product,1
2,F&M,industrial machinery,2;1;2;3',industrial machinery scrap,2
2,F&M,consumer durables,2;1;2;4',consumer durables product,1
2,F&M,consumer durables,2;1;2;4',consumer durables scrap,2
2,F&M,electrical,2;1;2;5',electrical product,1
2,F&M,electrical,2;1;2;5',electrical scrap,2
2,F&M,containers packaging,2;1;2;6',containers packaging product,1
2,F&M,containers packaging,2;1;2;6',containers packaging scrap,2
2,F&M,other,2;1;2;7',other product,1
2,F&M,other,2;1;2;7',other scrap,2
2,F&M,rolling,2;1;1;1,sheet plate,1'
2,F&M,rolling,2;1;1;1,foil,2'
2,F&M,sheet plate,2;1;1;1;1',sheet plate product,1
2,F&M,sheet plate,2;1;1;1;1',sheet plate scrap,2
2,F&M,sheet plate,2;1;1;1;1',sheet plate waste,3
2,F&M,foil,2;1;1;1;2',foil product,1
2,F&M,foil,2;1;1;1;2',foil scrap,2
2,F&M,foil,2;1;1;1;2',foil waste,3
